obj,time,method,robj
1927.1318047364948,85.277518838,EM,2.2524203920318993
1927.1310250584593,85.306832471,EM,2.2516407139963572
1927.1302462975857,85.357069387,EM,2.2508619531227847
1927.129468452093,85.52572264,EM,2.2500841076301636
1927.128691520204,85.565294021,EM,2.249307175741114
1927.1279155001462,85.59660345100001,EM,2.248531155683258
1927.1271403901515,85.633140657,EM,2.247756045688538
1927.1263661884566,85.663337654,EM,2.2469818439936713
1927.1255928933033,85.713383393,EM,2.246208548840377
1927.124820502937,85.883837333,EM,2.2454361584740123
1927.1240490156104,85.923172713,EM,2.2446646711474383
1927.1232784295776,85.953511598,EM,2.2438940851146523
1927.1225087430983,85.990335331,EM,2.243124398635336
1927.1217399544385,86.020716385,EM,2.2423556099755384
1927.1209720618658,86.071095069,EM,2.241587717402899
1927.1202050636557,86.239283089,EM,2.2408207191927882
1927.1194389580858,86.27876745500001,EM,2.240054613622851
1927.118673743439,86.31025087500001,EM,2.2392893989761884
1927.117909418003,86.348469137,EM,2.2385250735399946
1927.1171459800698,86.380236383,EM,2.2377616356069208
1927.1163834279355,86.431044266,EM,2.2369990834725737
1927.1156217599014,86.601507129,EM,2.236237415438472
1927.114860974272,86.641234822,EM,2.2354766298090905
1927.1141010693584,86.673385796,EM,2.234716724895497
1927.113342043474,86.709889193,EM,2.233957699011034
1927.1125838949379,86.740683647,EM,2.2331995504749553
1927.1118266220733,86.791724349,EM,2.23244227761038
1927.1110702232068,86.962079308,EM,2.2316858787438374
1927.1103146966714,87.002349051,EM,2.2309303522084516
1927.109560040802,87.033584455,EM,2.230175696339165
1927.1088062539404,87.070395474,EM,2.229421909477514
1927.1080533344314,87.100730832,EM,2.2286689899684458
1927.107301280623,87.151293529,EM,2.2279169361600903
1927.1065500908705,87.32041913,EM,2.2271657464076267
1927.1057997635298,87.35959643300001,EM,2.2264154190669156
1927.1050502969647,87.391003818,EM,2.2256659525017763
1927.1043016895405,87.426856237,EM,2.2249173450776194
1927.1035539396282,87.456851402,EM,2.2241695951653124
1927.1028070456018,87.506287194,EM,2.2234227011389063
1927.1020610058413,87.676025772,EM,2.2226766613783635
1927.1013158187293,87.715159067,EM,2.221931474266375
1927.100571482654,87.746208288,EM,2.2211871381910893
1927.0998279960063,87.782824838,EM,2.2204436515433823
1927.0990853571825,87.812459891,EM,2.2197010127195878
1927.0983435645817,87.863215152,EM,2.2189592201187676
1927.0976026166086,88.032723317,EM,2.218218272145668
1927.0968625116711,88.072759706,EM,2.2174781672082187
1927.0961232481823,88.103608237,EM,2.2167389037193512
1927.095384824557,88.14014998,EM,2.216000480094044
1927.0946472392166,88.170016578,EM,2.215262894753641
1927.0939104905856,88.220411992,EM,2.2145261461226706
1927.0931745770927,88.38972183199999,EM,2.213790232629753
1927.0924394971707,88.429094924,EM,2.2130551527078293
1927.0917052492555,88.460177934,EM,2.212320904792568
1927.090971831788,88.497033045,EM,2.2115874873250956
1927.090239243213,88.526424632,EM,2.210854898750176
1927.0895074819796,88.576591739,EM,2.210123137516666
1927.0887765465397,88.747183077,EM,2.209392202076833
1927.0880464353509,88.786617007,EM,2.2086620908879464
1927.0873171468727,88.818016396,EM,2.2079328024097773
1927.08658867957,88.854642786,EM,2.2072043351070985
1927.0858610319115,88.884706114,EM,2.206476687448548
1927.0851342023689,88.935836575,EM,2.205749857905948
1927.0844081894188,89.104391076,EM,2.2050238449558943
1927.083682991542,89.143398505,EM,2.204298647079076
1927.0829586072214,89.17366479,EM,2.2035742627584565
1927.0822350349454,89.209771045,EM,2.202850690482455
1927.0815122732058,89.239463406,EM,2.202127928742902
1927.0807903204977,89.289999129,EM,2.2014059760348115
1927.0800691753211,89.461666133,EM,2.200684830858199
1927.0793488361787,89.50094193999999,EM,2.199964491715809
1927.0786293015776,89.531862158,EM,2.199244957114706
1927.0779105700285,89.568318464,EM,2.198526225565592
1927.0771926400462,89.59834130899999,EM,2.197808295583263
1927.076475510149,89.648202062,EM,2.1970911656861514
1927.0757591788592,89.818734526,EM,2.1963748343963285
1927.075043644702,89.857715323,EM,2.1956593002390488
1927.074328906207,89.88979321299999,EM,2.194944561744114
1927.073614961908,89.92533381499999,EM,2.194230617445191
1927.0729018103414,89.955159701,EM,2.1935174658784486
1927.0721894500484,90.005163626,EM,2.192805105585512
1927.0714778795734,90.175347183,EM,2.192093535110507
1927.070767097464,90.21556270399999,EM,2.1913827530011982
1927.0700571022717,90.24711053899999,EM,2.190672757808761
1927.0693478925525,90.28408663399999,EM,2.189963548089599
1927.0686394668644,90.314664985,EM,2.189255122401482
1927.067931823771,90.365837433,EM,2.18854747930809
1927.0672249618383,90.53544782399999,EM,2.187840617375377
1927.066518879635,90.575728997,EM,2.187134535172026
1927.0658135757353,90.607905494,EM,2.1864292312724043
1927.065109048717,90.644473249,EM,2.1857247042540617
1927.0644052971595,90.675236112,EM,2.185020952696595
1927.0637023196464,90.725131432,EM,2.1843179751834665
1927.0630001147667,90.894747278,EM,2.183615770303822
1927.0622986811106,90.934235855,EM,2.182914336647718
1927.0615980172727,90.966147502,EM,2.182213672809757
1927.0608981218522,91.002898678,EM,2.181513777389318
1927.06019899345,91.032947745,EM,2.180814648987143
1927.0595006306708,91.08366448199999,EM,2.1801162862078396
1927.0588030321248,91.253927443,EM,2.1794186876619275
1927.0581061964222,91.293856169,EM,2.178721851959244
1927.0574101221798,91.32520136,EM,2.1780257777169023
1927.0567148080158,91.36265820899999,EM,2.1773304635529254
1927.056020252554,91.39283075499999,EM,2.1766359080910203
1927.0553264544192,91.44284006,EM,2.1759421099562584
1927.054633412241,91.610955804,EM,2.175249067778031
1927.0539411246505,91.650173332,EM,2.174556780187549
1927.053249590286,91.681116913,EM,2.1738652458230714
1927.0525588077865,91.71767653399999,EM,2.173174463323539
1927.051868775794,91.747691334,EM,2.1724844313310765
1927.0511794929553,91.79803032299999,EM,2.1717951484923557
1927.0504909579201,91.96676250399999,EM,2.1711066134572317
1927.04980316934,92.00629880199999,EM,2.170418824877151
1927.0491161258726,92.037776158,EM,2.1697317814097
1927.0484298261767,92.074128326,EM,2.1690454817138285
1927.0477442689157,92.10417596799999,EM,2.1683599244528065
1927.0470594527546,92.154344625,EM,2.167675108291723
1927.0463753763638,92.32359901299999,EM,2.1669910319008974
1927.045692038415,92.36663196299999,EM,2.166307693952012
1927.0450094375847,92.40159109599999,EM,2.1656250931217524
1927.0443275725527,92.442960809,EM,2.1649432280897596
1927.0436464420004,92.483627609,EM,2.1642620975374935
1927.0429660446139,92.55665263799999,EM,2.163581700150962
1927.0422863790823,92.78868989,EM,2.1629020346193553
1927.0416074440977,92.831374501,EM,2.1622230996348204
1927.0409292383545,92.865290647,EM,2.1615448938915502
1927.0402517605519,92.90574364199999,EM,2.1608674160889674
1927.0395750093924,92.940829751,EM,2.16019066492945
1927.0388989835787,92.99463569199999,EM,2.159514639115832
1927.0382236818207,93.16828348099999,EM,2.158839337357767
1927.0375491028292,93.215861894,EM,2.158164758366274
1927.036875245318,93.25690907799999,EM,2.1574909008551
1927.036202108005,93.30258759399999,EM,2.156817763542085
1927.0355296896107,93.34188399599999,EM,2.156145345147797
1927.0348579888582,93.40916296799999,EM,2.1554736443953058
1927.0341870044754,93.628949454,EM,2.1548026600124555
1927.0335167351923,93.67090496499999,EM,2.154132390729364
1927.03284717974,93.704978038,EM,2.1534628352770593
1927.0321783368563,93.743227843,EM,2.1527939923933896
1927.0315102052798,93.773710369,EM,2.152125860816886
1927.0308427837529,93.824578217,EM,2.1514584392899447
1927.0301760710208,93.994397994,EM,2.1507917265579177
1927.0295100658313,94.033584299,EM,2.150125721368431
1927.0288447669373,94.065710637,EM,2.1494604224743394
1927.0281801730905,94.10245200199999,EM,2.1487958286275894
1927.0275162830503,94.13442677799999,EM,2.1481319385874027
1927.0268530955768,94.191971575,EM,2.1474687511139106
1927.0261906094327,94.392873791,EM,2.1468062649697455
1927.0255288233839,94.436137292,EM,2.1461444789209505
1927.024867736202,94.472049188,EM,2.1454833917390257
1927.024207346657,94.519051334,EM,2.144823002194107
1927.0235476535254,94.559131588,EM,2.1441633090624688
1927.0228886555842,94.626632186,EM,2.143504311121296
1927.022230351616,94.848365821,EM,2.142846007153002
1927.021572740403,94.901294301,EM,2.1421883959400017
1927.0209158207342,94.942653459,EM,2.141531476271302
1927.0202595913984,94.991419211,EM,2.1408752469354564
1927.019604051189,95.031598734,EM,2.14021970672602
1927.0189491989004,95.098879537,EM,2.1395648544374577
1927.0182950333326,95.307198982,EM,2.138910688869691
1927.0176415532862,95.34931262399999,EM,2.1382572088233243
1927.0169887575667,95.386651045,EM,2.1376044131037357
1927.0163366449797,95.424322386,EM,2.136952300516759
1927.0156852143368,95.454388481,EM,2.136300869873912
1927.0150344644485,95.50515671699999,EM,2.1356501199855753
1927.0143843941337,95.675284116,EM,2.1350000496707704
1927.0137350022085,95.71622758,EM,2.1343506577455624
1927.0130862874953,95.748789854,EM,2.133701943032383
1927.0124382488184,95.786116591,EM,2.1330539043554833
1927.0117908850038,95.816927522,EM,2.1324065405409325
1927.0111441948827,95.86755975599999,EM,2.1317598504198028
1927.0104981772865,96.037488439,EM,2.1311138328236208
1927.009852831051,96.077111214,EM,2.130468486588006
1927.0092081550142,96.108181859,EM,2.129823810551306
1927.008564148017,96.145411423,EM,2.129179803554143
1927.007920808903,96.17594917,EM,2.128536464440094
1927.0072781365184,96.22688796599999,EM,2.127893792055465
1927.0066361297122,96.39985845,EM,2.1272517852492907
1927.0059947873365,96.440793697,EM,2.1266104428735613
1927.0053541082455,96.47384239,EM,2.1259697637825408
1927.004714091297,96.515000835,EM,2.1253297468341312
1927.0040747353505,96.555047946,EM,2.124690390887599
1927.0034360392688,96.622933635,EM,2.124051694805848
1927.0027980019172,96.827276656,EM,2.123413657454284
1927.002160622163,96.869093423,EM,2.1227762777001313
1927.0015238988776,96.903522411,EM,2.122139554414707
1927.0008878309345,96.94365684899999,EM,2.1215034864716014
1927.0002524172094,96.980244652,EM,2.120868072746452
1926.9996176565805,97.038163297,EM,2.120233312117625
1926.9989835479291,97.324824878,EM,2.1195992034662137
1926.9983500901399,97.380218231,EM,2.1189657456769506
1926.997717282099,97.42937969399999,EM,2.1183329376361595
1926.9970851226951,97.494246699,EM,2.1177007782322104
1926.996453610821,97.545205399,EM,2.117069266358021
1926.9958227453694,97.612832004,EM,2.1164384009065085
1926.995192525238,97.850202768,EM,2.1158081807751383
1926.9945629493268,97.902233882,EM,2.1151786048638765
1926.9939340165377,97.943663316,EM,2.1145496720747357
1926.9933057257745,97.992913819,EM,2.113921381311547
1926.9926780759456,98.028033991,EM,2.11329373148269
1926.99205106596,98.094531049,EM,2.112666721496998
1926.99142469473,98.298251209,EM,2.1120403502671703
1926.9907989611697,98.34042578,EM,2.1114146167068153
1926.9901738641988,98.380660409,EM,2.110789519735908
1926.9895494027353,98.42434765,EM,2.1101650582723774
1926.9889255757016,98.462191073,EM,2.1095412312386994
1926.9883023820234,98.520019115,EM,2.1089180375605334
1926.9876798206285,98.711164853,EM,2.108295476165585
1926.9870578904447,98.752634614,EM,2.107673545981788
1926.9864365904064,98.784987057,EM,2.107052245943441
1926.9858159194482,98.822679885,EM,2.106431574985299
1926.9851958765062,98.85327978,EM,2.105811532043253
1926.9845764605216,98.927586074,EM,2.1051921160586513
1926.9839576704362,99.170075558,EM,2.1045733259732966
1926.9833395051944,99.214211224,EM,2.103955160731493
1926.982721963744,99.253130129,EM,2.1033376192811826
1926.9821050450341,99.314045943,EM,2.1027207005712167
1926.9814887480165,99.37281039999999,EM,2.1021044035536303
1926.9808730716463,99.460686926,EM,2.1014887271834137
1926.9802580148794,99.71707836099999,EM,2.100873670416467
1926.9796435766766,99.76977277099999,EM,2.100259232213693
1926.9790297559975,99.815214372,EM,2.0996454115346292
1926.978416551808,99.865682102,EM,2.0990322073451804
1926.9778039630737,99.91175525999999,EM,2.098419618610796
1926.9771919887633,100.00387968199999,EM,2.097807644300337
1926.9765806278483,100.328257231,EM,2.097196283385392
1926.9759698793023,100.380151559,EM,2.0965855348393685
1926.9753597421009,100.424681537,EM,2.0959753976379485
1926.9747502152218,100.472036176,EM,2.09536587075886
1926.9741412976475,100.51225174,EM,2.0947569531846053
1926.9735329883592,100.584802686,EM,2.0941486438963235
1926.9729252863428,100.83370838799999,EM,2.093540941879928
1926.9723181905856,100.91161998599999,EM,2.092933846122696
1926.9717117000778,100.972812229,EM,2.092327355614861
1926.971105813812,101.05661617999999,EM,2.0917214693491584
1926.970500530782,101.108723553,EM,2.091116186319004
1926.9698958499846,101.181524344,EM,2.0905115055216807
1926.9692917704187,101.38770256299999,EM,2.0899074259558343
1926.9686882910871,101.43213155699999,EM,2.089303946624204
1926.9680854109924,101.474752731,EM,2.088701066529529
1926.9674831291409,101.533223502,EM,2.0880987846779586
1926.96688144454,101.589124757,EM,2.087497100077007
1926.9662803562017,101.727959834,EM,2.0868960117387356
1926.9656798631372,101.977617326,EM,2.086295518674296
1926.9650799643623,102.024664722,EM,2.085695619899388
1926.9644806588935,102.070129622,EM,2.0850963144306203
1926.9638819457512,102.12664013599999,EM,2.0844976012882395
1926.963283823956,102.180380431,EM,2.0838994794931747
1926.9626862925334,102.260129671,EM,2.0833019480704476
1926.9620893505075,102.569653769,EM,2.082705006044625
1926.9614929969084,102.631498947,EM,2.0821086524455037
1926.9608972307649,102.674191454,EM,2.0815128863019705
1926.9603020511104,102.729855034,EM,2.08091770664746
1926.9597074569808,102.777305036,EM,2.080323112517908
1926.9591134474113,102.848636751,EM,2.07972910294834
1926.9585200214428,103.072287284,EM,2.079135676979922
1926.9579271781156,103.126638039,EM,2.0785428336526817
1926.9573349164739,103.175602199,EM,2.077950572010968
1926.9567432355634,103.228656011,EM,2.077358891100493
1926.9561521344303,103.267593377,EM,2.076767789967425
1926.9555616121274,103.413812155,EM,2.0761772676645247
1926.9549716677056,103.73626735799999,EM,2.0755873232427344
1926.9543823002184,103.785034283,EM,2.0749979557554976
1926.953793508723,103.822315999,EM,2.074409164260123
1926.9532052922782,103.866986564,EM,2.0738209478152836
1926.952617649944,103.90727768699999,EM,2.0732333054810166
1926.9520305807832,103.97038555399999,EM,2.072646236320315
1926.9514440838607,104.197024484,EM,2.0720597393977638
1926.9508581582434,104.242610714,EM,2.0714738137804485
1926.9502728030013,104.289143739,EM,2.070888458538411
1926.9496880172048,104.34961528299999,EM,2.07030367274192
1926.9491037999267,104.39481851699999,EM,2.069719455463746
1926.948520150242,104.479995248,EM,2.06913580577916
1926.9479370672295,104.735567999,EM,2.0685527227666167
1926.9473545499675,104.789428981,EM,2.0679702055045706
1926.9467725975373,104.83203299399999,EM,2.067388253074432
1926.9461912090233,104.88407937999999,EM,2.0668068645603395
1926.94561038351,104.925653512,EM,2.0662260390471143
1926.945030120086,104.987058123,EM,2.065645775622988
1926.9444504178398,105.194126047,EM,2.065066073376874
1926.9438712758642,105.238385971,EM,2.0644869314013246
1926.9432926932523,105.277908677,EM,2.0639083487893455
1926.9427146690991,105.320367214,EM,2.063330324636217
1926.9421372025035,105.355813755,EM,2.0627528580406302
1926.9415602925644,105.41304628099999,EM,2.062175948101503
1926.9409839383839,105.61311902,EM,2.0615995939209366
1926.9404081390649,105.65683084599999,EM,2.061023794601942
1926.9398328937136,105.69283896399999,EM,2.0604485492507134
1926.939258201438,105.73617793599999,EM,2.0598738569750363
1926.9386840613477,105.77147666799999,EM,2.059299716884743
1926.9381104725535,105.832654335,EM,2.0587261280905746
1926.9375374341694,106.02888981699999,EM,2.0581530897064564
1926.9369649453106,106.070618009,EM,2.057580600847677
1926.936393005095,106.104164032,EM,2.057008660632027
1926.9358216126416,106.14210101399999,EM,2.0564372681786605
1926.9352507670721,106.17442045199999,EM,2.055866422609233
1926.9346804675097,106.225889467,EM,2.055296123046764
1926.934110713079,106.41351825,EM,2.054726368616093
1926.9335415029082,106.457202813,EM,2.054157158445241
1926.9329728361263,106.49164744999999,EM,2.0535884916633673
1926.9324047118625,106.53104623399999,EM,2.053020367399631
1926.931837129252,106.563778156,EM,2.052452784789102
1926.9312700874282,106.616415522,EM,2.0518857429652595
1926.9307035855281,106.791193728,EM,2.0513192410652206
1926.9301376226902,106.83276796,EM,2.050753278227239
1926.929572198055,106.866403818,EM,2.0501878535920692
1926.9290073107654,106.905293124,EM,2.049622966302513
1926.928442959965,106.93749175599999,EM,2.0490586155020534
1926.9278791447994,106.994653589,EM,2.0484948003364476
1926.9273158644178,107.17120141299999,EM,2.0479315199548633
1926.9267531179694,107.212998226,EM,2.0473687735064683
1926.9261909046058,107.24995012199999,EM,2.0468065601429313
1926.92562922348,107.289109215,EM,2.046244879017058
1926.9250680737491,107.320479404,EM,2.0456837292862016
1926.9245074545686,107.37290860799999,EM,2.045123110105669
1926.9239473650987,107.54808731499999,EM,2.044563020635769
1926.9233878044997,107.59002460699999,EM,2.0440034600368104
1926.922828771934,107.623446987,EM,2.043444427471149
1926.9222702665666,107.66267269199999,EM,2.0428859221036415
1926.921712287564,107.694556318,EM,2.0423279431011903
1926.9211548340948,107.74660913999999,EM,2.041770489631835
1926.9205979053281,107.921112053,EM,2.0412135608652076
1926.9200415004354,107.97350359699999,EM,2.0406571559725304
